File,ID,English,Vietnamese
GameTextCharacter,116313,"King Pardis III",""
GameTextCharacter,116314,"Gonska the Jester",""
GameTextCharacter,116315,"King Pardis II",""
GameTextCharacter,116316,"Prince Oswald",""
GameTextCharacter,116317,"Prince Osasuna",""
GameTextCharacter,116320,"Zeph the Apothecary",""
GameTextCharacter,116321,"Richard",""
GameTextCharacter,116323,"Captain of the Army of Riven",""
GameTextCharacter,116324,"Riven Soldier",""
GameTextCharacter,116325,"Edoras Soldier",""
GameTextCharacter,116326,"Altinian Soldier",""
GameTextCharacter,116330,"Pontiff Julius",""
GameTextCharacter,116331,"Priest",""
GameTextCharacter,116332,"Queen Ulrica",""
GameTextCharacter,116333,"Prime Minister",""
GameTextCharacter,116334,"Apothecary",""
GameTextCharacter,116336,"Elrica",""
GameTextCharacter,116338,"Dancer",""
GameTextCharacter,116339,"Maid-in-Waiting",""
GameTextCharacter,116340,"Desert Dweller",""
GameTextCharacter,116341,"Pardis the Scholarking",""
GameTextCharacter,116342,"Master of All",""
GameTextCharacter,116343,"Pathos the Thumb",""
GameTextCharacter,116344,"Apatheia the Ring Finger",""
GameTextCharacter,116345,"Sazantos the Flameguard",""
GameTextCharacter,116346,"Alaune",""
GameTextCharacter,116350,"Threadbare Woman",""
GameTextCharacter,116351,"Soldiers",""
GameTextCharacter,116353,"Leafless Woman",""
GameTextCharacter,116354,"Edoras Infantryman",""
GameTextCharacter,116355,"Pauper",""
GameTextCharacter,116356,"Edoras Captain",""
GameTextCharacter,116357,"Guard",""
GameTextCharacter,116358,"King Richard",""
GameTextCharacter,118113,"Edoras Soldiers",""
GameTextCharacter,116400,"Man in Black",""
GameTextCharacter,116404,"Levina",""
GameTextCharacter,116405,"Delvecchio",""
GameTextCharacter,116407,"Merchant",""
GameTextCharacter,116408,"Beggar",""
GameTextCharacter,116409,"Gatekeeper",""
GameTextCharacter,116410,"Leopaldi the Wealthy",""
GameTextCharacter,116411,"Mandarino",""
GameTextCharacter,116412,"Remone",""
GameTextCharacter,116413,"Oskha the Have-Not",""
GameTextCharacter,116486,"Lookout",""
GameTextCharacter,116487,"Lord Scarabe",""
GameTextCharacter,116488,"Poor Laborer",""
GameTextCharacter,116489,"Judah the Devout",""
GameTextCharacter,116491,"Believers",""
GameTextCharacter,116492,"Believer",""
GameTextCharacter,116493,"Lord Julian",""
GameTextCharacter,116494,"Oskha",""
GameTextCharacter,116622,"Oskha the Trader",""
GameTextCharacter,118117,"Residents",""
GameTextCharacter,116396,"Chief Vassal Lebrandt",""
GameTextCharacter,116397,"Marianne of the Kingsguard",""
GameTextCharacter,116398,"Populace",""
GameTextCharacter,116399,"Foreign Emissary",""
GameTextCharacter,116415,"Pelagia the Conjurer",""
GameTextCharacter,116416,"Empress Tatloch",""
GameTextCharacter,116417,"King Dudek",""
GameTextCharacter,116418,"Donescu Soldier",""
GameTextCharacter,116419,"Captain Na'gu",""
GameTextCharacter,116422,"Lord Eltrix",""
GameTextCharacter,116435,"G'roha Soldier",""
GameTextCharacter,116449,"Captain Gimel",""
GameTextCharacter,116501,"Thief",""
GameTextCharacter,116502,"Krauser",""
GameTextCharacter,116503,"Ivri",""
GameTextCharacter,116504,"Gakko",""
GameTextCharacter,116505,"Wappa",""
GameTextCharacter,116507,"Gatekeeper",""
GameTextCharacter,116508,"Duke Benedict",""
GameTextCharacter,116509,"G'roha Commander",""
GameTextCharacter,116511,"Theoria the Pointer Finger",""
GameTextCharacter,116512,"Philia the Middle Finger",""
GameTextCharacter,116513,"Signa the Little Finger",""
GameTextCharacter,116689,"G'roha Commander",""
GameTextCharacter,116690,"Osred II",""
GameTextCharacter,116692,"Tatloch the Lady of Grace",""
GameTextCharacter,117143,"Ivri, Gakko, Wappa",""
GameTextCharacter,117457,"Chief Vassal Krauser",""
GameTextCharacter,118125,"G'roha Soldiers",""
GameTextCharacter,118178,"Altinian Soldiers",""
GameTextCharacter,118179,"Wold Soldiers",""
GameTextCharacter,116401,"Rondo of the Knights Ardante",""
GameTextCharacter,116402,"Black Scarlet",""
GameTextCharacter,116436,"Miza",""
GameTextCharacter,116437,"Father Monaris",""
GameTextCharacter,116438,"Bishop Tarset",""
GameTextCharacter,116439,"Townsperson",""
GameTextCharacter,116456,"Father Taigan",""
GameTextCharacter,116536,"Headmaster Yvon",""
GameTextCharacter,116537,"Secretary",""
GameTextCharacter,116538,"Mercedes the Librarian",""
GameTextCharacter,116539,"Ceraphina",""
GameTextCharacter,116540,"Princess Mary",""
GameTextCharacter,116541,"Hugo, Captain of the Knights Ardante",""
GameTextCharacter,116542,"Archbishop Josef",""
GameTextCharacter,116672,"Mattias",""
GameTextCharacter,116673,"Simeon",""
GameTextCharacter,116674,"King Jennish",""
GameTextCharacter,116675,"Salomon the Scholar",""
GameTextCharacter,116677,"Ceraphina the Charitable",""
GameTextCharacter,116678,"Lyblac",""
GameTextCharacter,116679,"Graham Crossford",""
GameTextCharacter,118120,"Cleric",""
GameTextCharacter,118121,"Black Scarlet Soldier",""
GameTextCharacter,117078,"Finis",""
GameTextCharacter,117110,"Dark Knight Sazantos",""
GameTextCharacter,117111,"Dark Priestess Signa",""
GameTextCharacter,117497,"Tatloch",""
GameTextCharacter,117511,"Sazantos",""
GameTextCharacter,117730,"King Alfred",""
GameTextCharacter,117731,"Sonzon the Flameguard",""
GameTextCharacter,117732,"Cordelia",""
GameTextCharacter,117733,"Rondo",""
GameTextCharacter,117735,"Tytos",""
GameTextCharacter,117749,"Pharamea",""
GameTextCharacter,117799,"Herminia",""
GameTextCharacter,117800,"Auguste",""
GameTextCharacter,117801,"""Aelfric the Flamebringer""",""
GameTextCharacter,117802,"""Pharamea""",""
GameTextCharacter,117803,"Cleric Pharamea",""
GameTextCharacter,117824,"Shrinekeeper Ataraxia",""
GameTextCharacter,117850,"Elrica",""
GameTextCharacter,117851,"Gabriella",""
GameTextCharacter,117852,"Anita",""
GameTextCharacter,117853,"Archbishop Ceraphina",""
GameTextCharacter,117854,"Francesca",""
GameTextCharacter,118083,"Prince Richard",""
GameTextCharacter,118084,"Rondo Ravus",""
GameTextCharacter,118104,"Cardinal Teragraf",""
GameTextCharacter,118297,"Cardinal Ridefort",""
GameTextCharacter,118298,"Cardinal Gaudin",""
GameTextCharacter,118299,"Cardinal Montaigu",""
GameTextCharacter,118122,"Hugo of the Knights Ardante",""
GameTextCharacter,118123,"Deacon Guillaume",""
GameTextCharacter,118124,"Cardinal",""
GameTextCharacter,117734,"Brigand Leader",""
GameTextCharacter,117096,"Prime Minister Joshka",""
GameTextCharacter,116831,"Olneo the Merchant",""
GameTextCharacter,116577,"Linde",""
GameTextCharacter,117493,"Ophilia",""
GameTextCharacter,117494,"Lianna",""
GameTextCharacter,116623,"Hägen",""
GameTextCharacter,118112,"Z'aanta",""
GameTextCharacter,116806,"Lianna",""
GameTextCharacter,116666,"Hunter",""
GameTextCharacter,116620,"Master of Ceremonies",""
GameTextCharacter,900,"<chara_name>",""
GameTextCharacter,118086,"Fried, Captain of the Watch",""
GameTextCharacter,118087,"Yusia",""
GameTextCharacter,118088,"Lavore the Carpenter",""
GameTextCharacter,118089,"Priestess Yaya",""
GameTextCharacter,118090,"Nomos the Scholar",""
GameTextCharacter,118091,"Lutus",""
GameTextCharacter,118092,"Margot",""
GameTextCharacter,118093,"Ander",""
GameTextCharacter,118094,"Jasper",""
GameTextCharacter,118095,"Lila",""
GameTextCharacter,118096,"Illian",""
GameTextCharacter,118098,"Carabell",""
GameTextCharacter,118099,"Karan",""
GameTextCharacter,118100,"Basil",""
GameTextCharacter,118101,"Tyme",""
GameTextCharacter,118102,"Nellum",""
GameTextCharacter,118103,"Montia",""
GameTextCharacter,118105,"Olive",""
GameTextCharacter,118114,"Margot",""
GameTextCharacter,118115,"Ander",""
GameTextCharacter,118131,"Watch Member Phenn",""
GameTextCharacter,118132,"Deacon Laurana",""
GameTextCharacter,118133,"Scarlet Wings Corporal",""
GameTextCharacter,118296,"Traveling Composer",""
GameTextCharacter,118106,"Athessa",""
GameTextCharacter,118107,"Ivan",""
GameTextCharacter,118108,"Imposter Olberic",""
GameTextCharacter,118109,"Errad the Apothecary",""
GameTextCharacter,118111,"Dreige",""
GameTextCharacter,118116,"Edwin",""
GameTextCharacter,118118,"Middle-Aged Man",""
GameTextCharacter,118119,"Professor Polius",""
GameTextCharacter,118126,"Wordsworth the Wealthy",""
GameTextCharacter,118127,"Old Syndicate Member",""
GameTextCharacter,118128,"Scarred Syndicate Member",""
GameTextCharacter,118129,"Beast Warrior Barenga",""
GameTextCharacter,118130,"Princess Chilritta the Wise",""
GameTextCharacter,118134,"Busy Shopkeep",""
GameTextCharacter,118135,"Hooded Man",""
GameTextCharacter,118136,"Shopkeep's Wife",""
GameTextCharacter,118137,"Idle Shopkeep",""
GameTextCharacter,118138,"Man",""
GameTextCharacter,118139,"Woman",""
GameTextCharacter,118141,"Marjim",""
GameTextCharacter,118142,"Chiara",""
GameTextCharacter,118146,"Fortis",""
GameTextCharacter,118147,"Myka",""
GameTextCharacter,118154,"Deacon Malm",""
GameTextCharacter,118155,"Burned Man",""
GameTextCharacter,118156,"Woman Beset by Nightmares",""
GameTextCharacter,118163,"Spinone",""
GameTextCharacter,118164,"Traveling Apothecary",""
GameTextCharacter,118165,"Rich Man",""
GameTextCharacter,118166,"Phil",""
GameTextCharacter,118167,"Roneth",""
GameTextCharacter,118168,"Vaughner the Man-Eating Miser",""
GameTextCharacter,118170,"Ensio",""
GameTextCharacter,118171,"Kalle",""
GameTextCharacter,118172,"""Navigator""",""
GameTextCharacter,118173,"""Sailor""",""
GameTextCharacter,118174,"""Adventurer""",""
GameTextCharacter,118175,"Master Benno",""
GameTextCharacter,118176,"Nina",""
GameTextCharacter,118177,"Adrian the Promoter",""
GameTextCharacter,118180,"Garrulous Bodyguard",""
GameTextCharacter,118181,"Inarticulate Carpenter",""
GameTextCharacter,118182,"Responsible Syndicate Member",""
GameTextCharacter,118183,"Astute Appraiser",""
GameTextCharacter,118184,"Ruffian Chef",""
GameTextCharacter,118185,"Hunter-Like Youth",""
GameTextCharacter,118186,"Overly Devout Merchant",""
GameTextCharacter,118187,"Man Suspicious of the Hero",""
GameTextCharacter,118188,"Wandering Apothecary",""
GameTextCharacter,118189,"Cool Hunter",""
GameTextCharacter,118190,"Devout Nun",""
GameTextCharacter,118191,"Indomitable Dancer",""
GameTextCharacter,118192,"Smithy Apprentice",""
GameTextCharacter,118193,"Woman Fond of the Coastlands",""
GameTextCharacter,118194,"Pushy Farmer",""
GameTextCharacter,118195,"Bibliophile Cleric",""
GameTextCharacter,118196,"Earnest Aspiring Actor",""
GameTextCharacter,118197,"Listless Former Actress",""
GameTextCharacter,118198,"Exhausted Broker",""
GameTextCharacter,118199,"Traveling Writer",""
GameTextCharacter,118200,"Le Mann",""
GameTextCharacter,118201,"Alcohol-Hating Man",""
GameTextCharacter,118202,"Mid-Tier Noble's Servant",""
GameTextCharacter,118203,"Punching Bag",""
GameTextCharacter,118204,"Volunteer Soldier",""
GameTextCharacter,118205,"Retired Military Leader",""
GameTextCharacter,118206,"Brigand Boss",""
GameTextCharacter,118207,"Friendly Server",""
GameTextCharacter,118208,"Cloudy-Eyed Fisherwoman",""
GameTextCharacter,118209,"Hotheaded Rancher",""
GameTextCharacter,118210,"Magg the Cook",""
GameTextCharacter,118211,"Former Working Dancer",""
GameTextCharacter,118212,"Market Patrolman",""
GameTextCharacter,118213,"Red-Faced Miner",""
GameTextCharacter,118214,"Traveling Desert Chef",""
GameTextCharacter,118215,"Brave Tavern Maid",""
GameTextCharacter,118216,"Unsociable Recruiter",""
GameTextCharacter,118217,"Wise King's Admirer",""
GameTextCharacter,118218,"Once-Aspiring Knight",""
GameTextCharacter,118219,"Stern-Looking Carpenter",""
GameTextCharacter,118220,"Sociable Antique Dealer",""
GameTextCharacter,118221,"Famous Mason",""
GameTextCharacter,118222,"Cultivation Researcher",""
GameTextCharacter,118223,"Generous Noble",""
GameTextCharacter,118224,"Stern Knight",""
GameTextCharacter,118225,"Virtuous Cleric",""
GameTextCharacter,118226,"Striving Squire",""
GameTextCharacter,118227,"Novice Cleric",""
GameTextCharacter,118228,"Fastidious Seamstress",""
GameTextCharacter,118229,"Traveling Gourmand",""
GameTextCharacter,118230,"Eccentric Cook",""
GameTextCharacter,118231,"Secretive Graybeard",""
GameTextCharacter,118232,"Axe-Wielding Gentleman",""
GameTextCharacter,118233,"Covert Mercenary",""
GameTextCharacter,118234,"Pleasant Goldsmith",""
GameTextCharacter,118235,"Veteran Announcer",""
GameTextCharacter,118236,"Arena Dancer",""
GameTextCharacter,118237,"Former Slave of Tytos",""
GameTextCharacter,118238,"Instructor Rhiom",""
GameTextCharacter,118239,"Head of the Artisan's Guild",""
GameTextCharacter,118240,"Know-It-All Milo",""
GameTextCharacter,118241,"Capable Culinarian",""
GameTextCharacter,118242,"Cow-Loving Farmer",""
GameTextCharacter,118243,"Theoretical Military Scholar",""
GameTextCharacter,118244,"Medicinal Herb Student",""
GameTextCharacter,118245,"Dutiful Botanist",""
GameTextCharacter,118246,"Practical Agriculturist",""
GameTextCharacter,118247,"Cat Guard",""
GameTextCharacter,118248,"Traveling Ore Merchant",""
GameTextCharacter,118249,"Robust Broker",""
GameTextCharacter,118250,"Harbor Black Market Merchant",""
GameTextCharacter,118251,"Ambitious Investor",""
GameTextCharacter,118252,"Diarist",""
GameTextCharacter,118253,"Veteran Captain",""
GameTextCharacter,118254,"Holy Drunkard",""
GameTextCharacter,118255,"Award-Winning Farmer",""
GameTextCharacter,118256,"Injured Man",""
GameTextCharacter,118257,"Hardworking Lumberjack",""
GameTextCharacter,118258,"Eagle-Eyed Soldier",""
GameTextCharacter,118259,"Patriotic Bard",""
GameTextCharacter,118260,"Grieving Dog Owner",""
GameTextCharacter,118261,"Watchful Merchant",""
GameTextCharacter,118262,"Kindly Millionaire",""
GameTextCharacter,118263,"Ahdju Pastoralist",""
GameTextCharacter,118264,"Spice Mixer",""
GameTextCharacter,118265,"Tailor Shelito",""
GameTextCharacter,118266,"Desert Labor Supervisor",""
GameTextCharacter,118267,"Versatile Painter",""
GameTextCharacter,118268,"Mystery-Chasing Explorer",""
GameTextCharacter,118269,"Scholar of Harmony",""
GameTextCharacter,118270,"Resigned Woman",""
GameTextCharacter,118271,"Grumpy Old Woman",""
GameTextCharacter,118272,"Maiden of Healing",""
GameTextCharacter,118273,"Powerful Maiden-in-Training",""
GameTextCharacter,118274,"Meowstesis of the Pawbeans",""
GameTextCharacter,118275,"Cunning Kitten",""
GameTextCharacter,118276,"Shivering Black Cat",""
GameTextCharacter,118277,"Theatre-Loving Dog",""
GameTextCharacter,118278,"Aggressive Alpaca",""
GameTextCharacter,118279,"Former Herd Leader",""
GameTextCharacter,118280,"Hole-Digging Rabbit",""
GameTextCharacter,118281,"Happy Dog",""
GameTextCharacter,118282,"Stray Seagull",""
GameTextCharacter,118283,"Lonely Goat",""
GameTextCharacter,118284,"Octopus Traveler",""
GameTextCharacter,118285,"Bloodthirsty Rabbit",""
GameTextCharacter,118287,"Forgetful Squirrel",""
GameTextCharacter,118288,"Ravenous Goat",""
GameTextCharacter,118289,"Carefree Seagull",""
GameTextCharacter,118290,"Self-Indulgent Bovine",""
GameTextCharacter,118291,"Elderly Camel",""
GameTextCharacter,118292,"Beautiful White Cat",""
GameTextCharacter,118293,"Satisfied Calico",""
GameTextCharacter,118294,"Family of Chickens",""
GameTextCharacter,118295,"Carefree Cat",""
GameTextCharacter,118300,"Apothecary Toulo",""
GameTextCharacter,118338,"Cat of Graceful Bearing",""
GameTextCharacter,118339,"Hound of Power",""
GameTextCharacter,10101,"Viator",""
GameTextCharacter,10201,"Reime",""
GameTextCharacter,10302,"Ludo",""
GameTextCharacter,10402,"Carinda",""
GameTextCharacter,10503,"Celsus",""
GameTextCharacter,10603,"Heidne",""
GameTextCharacter,10704,"Esperre",""
GameTextCharacter,10804,"Macy",""
GameTextCharacter,10905,"Phenn",""
GameTextCharacter,11005,"Delitia",""
GameTextCharacter,11106,"Pius",""
GameTextCharacter,11206,"Laurana",""
GameTextCharacter,11307,"Xerc",""
GameTextCharacter,11407,"Alexia",""
GameTextCharacter,11508,"Goodwin",""
GameTextCharacter,11608,"Saoirse",""
GameTextCharacter,20101,"Olberic",""
GameTextCharacter,20202,"Tressa",""
GameTextCharacter,20303,"Therion",""
GameTextCharacter,20404,"Alfyn",""
GameTextCharacter,20505,"H'aanit",""
GameTextCharacter,20606,"Ophilia",""
GameTextCharacter,20707,"Cyrus",""
GameTextCharacter,20808,"Primrose",""
GameTextCharacter,30103,"Bargello",""
GameTextCharacter,30207,"Alaune",""
GameTextCharacter,30301,"Richard",""
GameTextCharacter,30407,"Solon",""
GameTextCharacter,30501,"Eltrix",""
GameTextCharacter,30701,"Rondo",""
GameTextCharacter,30808,"Tatloch",""
GameTextCharacter,40204,"Stia",""
GameTextCharacter,50101,"Sazantos",""
GameTextCharacter,50201,"El",""
GameTextCharacter,60107,"Isla",""
GameTextCharacter,118337,"Cait Scholar Isla",""
GameTextCharacter,118301,"Rugis Surra",""
GameTextCharacter,118302,"Delan Poe",""
GameTextCharacter,118303,"Da Maya",""
GameTextCharacter,118304,"Kota",""
GameTextCharacter,118305,"Morimeowto",""
GameTextCharacter,118306,"Ikcy",""
GameTextCharacter,118307,"Kama Dierre",""
GameTextCharacter,118308,"Kaku Robo",""
GameTextCharacter,118309,"Nishikiano",""
GameTextCharacter,118310,"Negiwata Belaren",""
GameTextCharacter,118311,"Sapa Vienne",""
GameTextCharacter,118312,"Joun Lemon",""
GameTextCharacter,118313,"Norimas Winlook",""
GameTextCharacter,118314,"Naga Yamante",""
GameTextCharacter,118315,"Kana Shiba",""
GameTextCharacter,118316,"Kohi Tahkar",""
GameTextCharacter,118317,"Yu Yai",""
GameTextCharacter,118318,"Mikaro Mirahim",""
GameTextCharacter,118319,"Ryoma",""
GameTextCharacter,118320,"Shiba Rique",""
GameTextCharacter,118321,"Mineji",""
GameTextCharacter,118322,"Ihsa Yabok",""
GameTextCharacter,118323,"Myano Wincy",""
GameTextCharacter,118324,"Kamimu Shisuya",""
GameTextCharacter,118325,"Mikey Gold",""
GameTextCharacter,118326,"Den Skeyo",""
GameTextCharacter,118327,"Escon Satour",""
GameTextCharacter,118328,"Akkirua",""
GameTextCharacter,118329,"Rhiae Iga",""
GameTextCharacter,118330,"Yu Sakh",""
GameTextCharacter,118331,"Velle Rice",""
GameTextCharacter,118332,"Tsuka Tashiba",""
GameTextCharacter,118333,"Neumann Hiro",""
GameTextCharacter,118334,"Haggie Harrar",""
GameTextCharacter,118335,"Higtis Ayu",""
GameTextCharacter,118336,"Ruggs Shohashi",""
GameTextCharacterCreate,0,"(Unlocalized)",""
GameTextCharacterCreate,2,"{0}",""
GameTextCharacterCreate,11,"Select the skill you learned when you were young.",""
GameTextCharacterCreate,12,"Select your favorite dish.",""
GameTextCharacterCreate,13,"Enter the name of your favorite dish.",""
GameTextCharacterCreate,14,"Select 3 belongings.",""
GameTextCharacterCreate,15,"Finally, enter your name.",""
GameTextCharacterCreate,16,"Select your job.",""
GameTextCharacterCreate,17,"Select the mastery you achieved from training.",""
GameTextCharacterCreate,18,"Select your appearance.",""
GameTextCharacterCreate,19,"Proceed with this appearance?",""
GameTextCharacterCreate,20,"Proceed with this learned skill?",""
GameTextCharacterCreate,21,"Proceed with this favorite dish?",""
GameTextCharacterCreate,22,"Proceed with these belongings?",""
GameTextCharacterCreate,23,"Proceed with this job?",""
GameTextCharacterCreate,24,"Proceed with this mastery?",""
GameTextCharacterCreate,25,"Learned Skill",""
GameTextCharacterCreate,26,"Favorite Dish",""
GameTextCharacterCreate,27,"Belongings (3)",""
GameTextCharacterCreate,28,"Job",""
GameTextCharacterCreate,29,"Mastery",""
GameTextCharacterCreate,30,"Memory",""
GameTextCharacterCreate,35,"Learned Skill",""
GameTextCharacterCreate,36,"Favorite Dish",""
GameTextCharacterCreate,37,"Belongings",""
GameTextCharacterCreate,40,"Final Confirmation",""
GameTextCharacterCreate,41,"Continue <chara_name>'s journey?",""
GameTextCharacterCreate,42,"Begin <chara_name>'s journey?",""
GameTextCharacterCreate,43,"Confirm Settings",""
GameTextCharacterCreate,44,"Change Appearance",""
GameTextCharacterCreate,45,"Change Learned Skill",""
GameTextCharacterCreate,46,"Change Favorite Dish",""
GameTextCharacterCreate,47,"Change Belongings",""
GameTextCharacterCreate,48,"Change Name",""
GameTextCharacterCreate,49,"Change Job",""
GameTextCharacterCreate,50,"Change Mastery",""
GameTextCharacterCreate,51,"Begin Story",""
GameTextCharacterCreate,52,"Continue Story",""
GameTextCharacterCreate,53,"Mastery",""
GameTextCharacterCreate,54,"Please enter your name.",""
GameTextCharacterCreate,55,"Please enter the name of your favorite dish.",""
GameTextCharacterCreate,56,"Abandon changes?",""
GameTextCharacterCreate,57,"Your mother's specialty is {0}.",""
GameTextCharacterCreate,100,"Skilled with the sword, warriors specialize in physical attacks and\nboast high defenses. In time, they can grow to master a variety of\noffensive abilities.",""
GameTextCharacterCreate,101,"Healers who concoct medicines to treat the sick and injured.\nThough apothecaries excel at restoring HP and preventing status\nailments, they can also go on the offensive with their axes.",""
GameTextCharacterCreate,102,"Ruffians who mastered the art of stealing to survive, thieves can take\nall manner of things from their targets, including items, HP, and SP.\nExtremely nimble, they are fleeter of foot than anyone else.",""
GameTextCharacterCreate,103,"Ever in the pursuit of knowledge, scholars specialize in powerful\nelemental attacks. Given time, they can harness multiple elements,\nallowing them to skillfully exploit their foes' weaknesses.",""
GameTextCharacterCreate,104,"Servants of the Order of the Sacred Flame. They can use the magic\npowers granted to them by the heavens to safeguard allies and\nvanquish evil foes.",""
GameTextCharacterCreate,105,"Expert trackers who never lose their prey, hunters are adept at\nphysical attacks and inflicting foes with status ailments. They use\ntheir inherent agility to make quick work of their targets.",""
GameTextCharacterCreate,106,"Responsible for distributing goods all across Orsterra, merchants\nearn leaves and JP in a variety of ways. They support their allies\nwith polearm or bow in hand.",""
GameTextCharacterCreate,107,"Dancers are entertainers skilled in both song and dance. Their cheers\nbolster ally stats, and they can use their fan to elegantly dispose of\nenemies.",""
GameTextCharacterCreate,200,"Attack Skill",""
GameTextCharacterCreate,201,"Recovery Skill",""
GameTextCharacterCreate,202,"Enfeebling Skill",""
GameTextCharacterCreate,203,"Attack Skill",""
GameTextCharacterCreate,204,"Recovery Skill",""
GameTextCharacterCreate,205,"Support Skill",""
GameTextCharacterCreate,5501,"Select a weapon and deal damage to a foe 2 time(s).",""
GameTextCharacterCreate,5502,"Grant HP recovery to an ally and restore SP by 10%.",""
GameTextCharacterCreate,5503,"Lower Phys. Atk. and Phys. Def. of a foe for 2 turn(s).",""
GameTextCharacterCreate,4501,"You wanted to learn how to fight as a member of the watch.\nSo your father, the watch captain, taught you how to strike\ndown enemies.",""
GameTextCharacterCreate,4502,"You wanted to learn how to heal the injured. So your mother,\na former cleric, taught you how to ease the pain of others.",""
GameTextCharacterCreate,4503,"You showed a great interest in architecture. So the local carpenter\ntaught you about everything you needed to know about structures.",""
GameTextCharacterCreate,5601,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Phys. Atk. +5%",""
GameTextCharacterCreate,5602,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Phys. Def. +5%",""
GameTextCharacterCreate,5603,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Crit. +5%",""
GameTextCharacterCreate,5604,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Accuracy +5%",""
GameTextCharacterCreate,5605,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Speed +5%",""
GameTextCharacterCreate,5606,"Grants the following effects for 15 turns:\n\n- Max. HP/Max. SP +10%\n- Elem. Def. +5%",""
